ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
179;Macho;38;555.0;1.5;9.5;8.0;10.5;5.0;32.0;26.0;22.0;7.0;7.5;5.0;5.6
182;Macho;38;570.0;1.8;9.6;13.2;12.0;6.6;30.7;30.3;20.4;5.7;7.0;5.4;5.4
184;Macho;38;815.0;2.0;10.0;14.4;13.6;6.3;33.1;28.1;24.5;9.6;9.0;7.0;6.6
187;Femea;38;190.0;1.4;6.9;5.6;10.7;5.0;20.9;20.4;14.4;4.8;5.3;3.2;3.5
198;Femea;38;710.0;2.2;10.0;15.4;12.3;7.7;37.5;32.5;25.5;8.0;10.0;6.4;5.7
202;Macho;38;510.0;1.6;9.3;6.7;13.5;6.8;26.0;27.6;21.6;7.3;7.4;4.9;5.1
205;Macho;38;455.0;2.3;9.2;9.0;11.0;6.0;27.0;27.0;20.0;9.5;7.0;6.0;6.5
212;Macho;38;655.0;1.5;9.8;8.0;11.4;5.0;32.8;27.0;22.0;6.0;7.5;5.0;6.0
218;Femea;38;620.0;1.7;10.5;13.5;11.5;7.8;35.7;30.3;24.3;8.0;10.0;6.5;5.8
1;Macho;52;800.0;2.0;10.2;14.5;12.1;4.7;35.9;35.4;28.3;8.0;9.0;6.4;7.0
3;Macho;52;740.0;2.1;11.1;9.4;14.4;7.4;35.0;32.4;24.0;9.0;9.2;5.5;6.0
4;Macho;52;935.0;2.5;11.0;13.0;14.0;6.0;35.0;36.0;27.0;9.0;13.0;7.0;6.0
5;Femea;52;715.0;2.4;11.1;9.5;15.4;6.8;34.2;33.7;25.9;9.3;9.6;5.9;5.3
7;Femea;52;785.0;2.5;10.5;12.0;13.0;6.0;35.0;34.0;28.0;9.0;10.0;7.0;6.0
18;Femea;52;970.0;2.3;11.5;16.6;15.8;6.8;41.8;30.6;29.4;9.3;10.1;6.5;7.2
23;Macho;52;835.0;2.0;10.9;9.2;13.8;6.5;35.9;36.1;27.8;8.6;9.5;5.5;6.1
25;Macho;52;620.0;2.0;10.8;9.0;13.5;6.8;31.9;33.1;22.8;8.3;10.0;5.2;6.4
29;Femea;52;750.0;2.9;10.5;7.8;16.0;12.0;28.1;27.5;25.5;8.0;7.5;6.6;5.0
52;Macho;52;860.0;2.0;11.0;13.0;14.1;5.2;37.3;34.5;27.5;9.6;8.5;7.6;7.0
60;Femea;52;925.0;2.1;10.3;12.5;12.3;4.5;34.5;34.3;26.8;7.7;8.2;7.2;6.2
70;Macho;52;725.0;2.0;11.1;9.8;13.5;6.4;32.6;33.2;25.4;8.8;9.5;5.5;5.9
89;Femea;52;945.0;2.5;10.9;11.6;16.0;7.7;36.1;33.9;26.0;10.0;9.6;6.2;6.3
97;Femea;52;650.0;2.0;10.4;16.1;14.2;7.0;39.4;35.6;23.8;9.2;9.3;6.4;6.4
103;Macho;52;825.0;2.1;10.5;15.8;13.1;5.0;39.2;31.5;27.5;8.5;9.0;7.0;7.1
108;Femea;52;585.0;2.0;9.5;12.5;14.2;4.9;36.5;29.0;24.1;7.9;8.0;6.5;5.7
110;Femea;52;520.0;2.0;9.8;13.5;13.5;7.3;37.5;34.0;23.0;8.0;11.0;7.0;6.0
129;Macho;52;795.0;2.0;10.5;14.3;15.0;5.0;38.0;32.5;27.1;8.7;7.9;7.0;8.0
